Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†, flag","Shiga toxin-producing Escherichia coli, Current week","Shiga toxin-producing Escherichia coli, Current week, flag","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli, Cum 2019†","Shiga toxin-producing Escherichia coli, Cum 2019†, flag","Shiga toxin-producing Escherichia coli, Cum 2018†","Shiga toxin-producing Escherichia coli, Cum 2018†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag","Shigellosis, Cum 2018†","Shigellosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
PUERTO RICO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191367
KANSAS,2019,13,,-,0,,,-,,-,,-,18,,10,,24,,,-,10,,13,,45,,"KANSAS
(38.484729, -98.38018)",,20191322
CALIFORNIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,1,,109,,515,,513,,"CALIFORNIA
(37.211164, -119.662127)",,20191359
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191369
WISCONSIN,2019,13,,-,0,,,-,,-,5,,31,,58,,82,,1,,6,,29,,37,,"WISCONSIN
(44.639954, -89.732969)",,20191319
ARKANSAS,2019,14,,-,0,,,-,,-,,-,7,,13,,16,,,-,9,,21,,24,,"ARKANSAS
(34.899825, -92.439162)",,20191444
NEW YORK CITY,2019,14,,-,0,,,-,,-,,-,19,,108,,59,,21,,43,,306,,154,,,NEW YORK CITY,20191412
IOWA,2019,14,,-,0,,,-,,-,,-,38,,59,,69,,,-,7,,12,,26,,"IOWA
(42.074659, -93.500061)",,20191421
MOUNTAIN,2019,14,,-,0,,,-,,-,7,,61,,176,,216,,,-,39,,131,,195,,,MOUNTAIN,20191448
MISSISSIPPI,2019,14,,-,0,,,-,,-,,-,7,,9,,26,,1,,19,,41,,40,,"MISSISSIPPI
(32.713378, -89.65344)",,20191441
EAST NORTH CENTRAL,2019,14,,-,0,,,-,,-,16,,82,,245,,329,,8,,48,,271,,358,,,EAST NORTH CENTRAL,20191414
WEST NORTH CENTRAL,2019,14,,-,0,,,-,,-,4,,80,,164,,211,,5,,25,,76,,218,,,WEST NORTH CENTRAL,20191420
WISCONSIN,2019,14,,-,0,,,-,,-,5,,30,,69,,98,,2,,6,,33,,42,,"WISCONSIN
(44.639954, -89.732969)",,20191419
MICHIGAN,2019,14,,-,0,,,-,,-,,-,14,,50,,49,,1,,13,,36,,39,,"MICHIGAN
(44.874798, -85.730977)",,20191417
RHODE ISLAND,2019,14,,-,0,,,-,,-,,-,4,,6,,6,,,-,5,,15,,9,,"RHODE ISLAND
(41.572574, -71.534637)",,20191407
COLORADO,2019,14,,-,0,,,-,,-,5,,19,,68,,78,,,-,14,,42,,55,,"COLORADO
(38.998552, -105.547832)",,20191450
CONNECTICUT,2019,14,,-,0,,,-,,-,,-,7,,26,,23,,,-,5,,18,,11,,"CONNECTICUT
(41.575155, -72.738288)",,20191403
MINNESOTA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191423
PUERTO RICO,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191467
WEST SOUTH CENTRAL,2019,14,,-,0,,,-,,-,26,,90,,222,,241,,27,,81,,339,,247,,,WEST SOUTH CENTRAL,20191443
MARYLAND,2019,14,,-,0,,,-,,-,4,,13,,45,,43,,4,,11,,63,,45,,"MARYLAND
(38.946466, -76.687282)",,20191433
OKLAHOMA,2019,14,,-,0,,,-,,-,2,,37,,14,,13,,4,,6,,22,,13,,"OKLAHOMA
(35.583449, -97.508297)",,20191446
MASSACHUSETTS,2019,14,,-,0,,,-,,-,,-,9,,17,,35,,2,,11,,42,,41,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191405
NEW MEXICO,2019,14,,-,0,,,-,,-,1,,7,,12,,17,,,-,5,,12,,12,,"NEW MEXICO
(34.421369, -106.108388)",,20191454
WASHINGTON,2019,14,,-,0,,,-,,-,,-,48,,42,,21,,1,,72,,74,,68,,"WASHINGTON
(47.411715, -120.592492)",,20191462
INDIANA,2019,14,,-,0,,,-,,-,,-,12,,,-,31,,,-,6,,,-,28,,"INDIANA
(39.919991, -86.2818)",,20191416
OHIO,2019,14,,-,0,,,-,,-,11,,30,,104,,101,,5,,22,,131,,143,,"OHIO
(40.415534, -82.70936)",,20191418
EAST SOUTH CENTRAL,2019,14,,-,0,,,-,,-,7,,34,,129,,97,,3,,30,,135,,186,,,EAST SOUTH CENTRAL,20191438
MONTANA,2019,14,,-,0,,,-,,-,,-,8,,11,,16,,,-,2,,3,,2,,"MONTANA
(47.033521, -109.645127)",,20191452
SOUTH CAROLINA,2019,14,,-,0,,,-,,-,,-,6,,16,,40,,,-,16,,16,,111,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191435
OREGON,2019,14,,-,0,,,-,,-,6,,15,,53,,48,,2,,68,,50,,43,,"OREGON
(43.940449, -120.605279)",,20191461
CALIFORNIA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,3,,109,,537,,573,,"CALIFORNIA
(37.211164, -119.662127)",,20191459
NORTH CAROLINA,2019,14,,-,0,,,-,,-,,-,20,,29,,48,,,-,13,,47,,57,,"NORTH CAROLINA
(35.52603, -79.130883)",,20191434
ALABAMA,2019,14,,-,0,,,-,,-,,-,8,,28,,12,,2,,13,,51,,66,,"ALABAMA
(32.756889, -86.844516)",,20191439
US TERRITORIES,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191463
U.S. VIRGIN ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191468
WYOMING,2019,14,,-,0,,,-,,-,,-,6,,2,,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20191456
NEW JERSEY,2019,14,,-,0,,,-,,-,,-,7,,7,,40,,,-,40,,174,,141,,"NEW JERSEY
(40.110253, -74.655514)",,20191410
PACIFIC,2019,14,,-,0,,,-,,-,6,,61,,96,,79,,6,,168,,686,,724,,,PACIFIC,20191457
NEW YORK,2019,14,,-,0,,,-,,-,7,,19,,78,,56,,5,,27,,64,,55,,"NEW YORK
(42.921241, -75.59655)",,20191411
VIRGINIA,2019,14,,-,0,,,-,,-,,-,17,,39,,48,,,-,14,,38,,41,,"VIRGINIA
(37.510861, -78.666382)",,20191436
TEXAS,2019,14,,-,0,,,-,,-,24,,84,,188,,193,,18,,66,,280,,169,,"TEXAS
(31.447238, -99.317341)",,20191447
MIDDLE ATLANTIC,2019,14,,-,0,,,-,,-,11,,53,,240,,218,,30,,86,,598,,391,,,MIDDLE ATLANTIC,20191409
NEW ENGLAND,2019,14,,-,0,,,-,,-,2,,19,,71,,88,,2,,55,,88,,66,,,NEW ENGLAND,20191402
NEBRASKA,2019,14,,-,0,,,-,,-,1,,12,,22,,21,,1,,5,,17,,15,,"NEBRASKA
(41.527099, -99.810595)",,20191425
SOUTH ATLANTIC,2019,14,,-,0,,,-,,-,6,,93,,171,,411,,7,,87,,259,,709,,,SOUTH ATLANTIC,20191428
FLORIDA,2019,14,,-,0,,,-,,-,,-,33,,,-,191,,,-,53,,,-,343,,"FLORIDA
(28.260731, -82.420978)",,20191431
VERMONT,2019,14,,-,0,,,-,,-,1,,4,,9,,10,,,-,43,,4,,3,,"VERMONT
(44.075252, -72.662695)",,20191408
AMERICAN SAMOA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191464
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191469
SOUTH DAKOTA,2019,14,,-,0,,,-,,-,,-,34,,7,,21,,,-,3,,4,,10,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191427
MISSOURI,2019,14,,-,0,,,-,,-,3,,18,,53,,62,,4,,19,,25,,117,,"MISSOURI
(38.3675, -92.477244)",,20191424
TOTAL,2019,14,,-,0,,,-,,-,85,,434,,1514,,1890,,88,,457,,2583,,3094,,,TOTAL,20191470
GEORGIA,2019,14,,-,0,,,-,,-,2,,8,,34,,25,,3,,17,,82,,86,,"GEORGIA
(32.638481, -83.426574)",,20191432
ILLINOIS,2019,14,,-,0,,,-,,-,,-,16,,22,,50,,,-,21,,71,,106,,"ILLINOIS
(40.124144, -89.148632)",,20191415
DISTRICT OF COLUMBIA,2019,14,,-,0,,,-,,-,,-,3,,2,,6,,,-,7,,12,,19,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191430
GUAM,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191466
TENNESSEE,2019,14,,-,0,,,-,,-,1,,20,,66,,46,,,-,10,,32,,55,,"TENNESSEE
(35.842998, -86.343226)",,20191442
US RESIDENTS,2019,14,,-,0,,,-,,-,85,,434,,1514,,1890,,88,,457,,2583,,3094,,,US RESIDENTS,20191401
NORTH DAKOTA,2019,14,,-,0,,,-,,-,,-,5,,6,,13,,,-,1,,4,,2,,"NORTH DAKOTA
(47.446305, -100.46931)",,20191426
DELAWARE,2019,14,,-,0,,,-,,-,,-,1,,1,,,-,,-,2,,,-,2,,"DELAWARE
(38.994926, -75.452394)",,20191429
HAWAII,2019,14,,-,0,,,-,,-,,-,2,,1,,1,,,-,31,,24,,36,,"HAWAII
(21.361013, -157.854309)",,20191460
UTAH,2019,14,,-,0,,,-,,-,,-,11,,20,,21,,,-,6,,9,,11,,"UTAH
(39.323779, -111.678222)",,20191455
PENNSYLVANIA,2019,14,,-,0,,,-,,-,4,,20,,47,,63,,4,,11,,54,,41,,"PENNSYLVANIA
(40.896694, -77.838886)",,20191413
IDAHO,2019,14,,-,0,,,-,,-,1,,12,,29,,26,,,-,5,,7,,15,,"IDAHO
(44.389073, -114.659366)",,20191451
LOUISIANA,2019,14,,-,0,,,-,,-,,-,18,,7,,19,,5,,10,,16,,41,,"LOUISIANA
(30.921314, -91.840238)",,20191445
ARIZONA,2019,14,,-,0,,,-,,-,,-,12,,32,,53,,,-,20,,52,,78,,"ARIZONA
(34.293239, -111.664616)",,20191449
KANSAS,2019,14,,-,0,,,-,,-,,-,18,,17,,25,,,-,10,,14,,48,,"KANSAS
(38.484729, -98.38018)",,20191422
MAINE,2019,14,,-,0,,,-,,-,,-,4,,7,,7,,,-,1,,3,,2,,"MAINE
(45.117911, -69.06137)",,20191404
ALASKA,2019,14,,-,0,,,-,,-,,-,4,,,-,9,,,-,1,,1,,4,,"ALASKA
(63.631126, -151.631889)",,20191458
WEST VIRGINIA,2019,14,,-,0,,,-,,-,,-,6,,5,,10,,,-,2,,1,,5,,"WEST VIRGINIA
(38.642579, -80.613729)",,20191437
NEVADA,2019,14,,-,0,,,-,,-,,-,4,,2,,4,,,-,6,,6,,21,,"NEVADA
(39.283294, -114.916992)",,20191453
KENTUCKY,2019,14,,-,0,,,-,,-,6,,10,,26,,13,,,-,5,,11,,25,,"KENTUCKY
(37.526683, -85.290484)",,20191440
NEW HAMPSHIRE,2019,14,,-,0,,,-,,-,1,,5,,6,,7,,,-,2,,6,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191406
NORTHERN MARIANA ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191465
NEW YORK CITY,2019,15,,-,0,,,-,,-,1,,19,,135,,72,,20,,43,,330,,173,,,NEW YORK CITY,20191512
NON-US RESIDENTS,2019,15,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191569
MINNESOTA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191523
NORTHERN MARIANA ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191565
MASSACHUSETTS,2019,15,,-,0,,,-,,-,,-,9,,18,,36,,1,,11,,48,,43,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191505
KANSAS,2019,15,,-,0,,,-,,-,,-,18,,18,,27,,1,,10,,15,,53,,"KANSAS
(38.484729, -98.38018)",,20191522
EAST NORTH CENTRAL,2019,15,,-,0,,,-,,-,5,,82,,263,,363,,10,,48,,288,,387,,,EAST NORTH CENTRAL,20191514
WEST VIRGINIA,2019,15,,-,0,,,-,,-,,-,6,,6,,11,,,-,2,,1,,6,,"WEST VIRGINIA
(38.642579, -80.613729)",,20191537
NEBRASKA,2019,15,,-,0,,,-,,-,1,,12,,23,,24,,,-,5,,17,,17,,"NEBRASKA
(41.527099, -99.810595)",,20191525
HAWAII,2019,15,,-,0,,,-,,-,,-,2,,1,,1,,,-,31,,24,,36,,"HAWAII
(21.361013, -157.854309)",,20191560
SOUTH DAKOTA,2019,15,,-,0,,,-,,-,,-,34,,7,,22,,,-,3,,4,,10,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191527
EAST SOUTH CENTRAL,2019,15,,-,0,,,-,,-,4,,35,,177,,115,,3,,30,,145,,198,,,EAST SOUTH CENTRAL,20191538
GUAM,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191566
COLORADO,2019,15,,-,0,,,-,,-,6,,19,,77,,86,,6,,14,,55,,60,,"COLORADO
(38.998552, -105.547832)",,20191550
ALASKA,2019,15,,-,0,,,-,,-,,-,3,,,-,12,,1,,1,,2,,4,,"ALASKA
(63.631126, -151.631889)",,20191558
LOUISIANA,2019,15,,-,0,,,-,,-,,-,18,,8,,20,,2,,10,,18,,44,,"LOUISIANA
(30.921314, -91.840238)",,20191545
MONTANA,2019,15,,-,0,,,-,,-,,-,8,,12,,20,,,-,2,,3,,3,,"MONTANA
(47.033521, -109.645127)",,20191552
CONNECTICUT,2019,15,,-,0,,,-,,-,,-,7,,26,,24,,,-,5,,18,,13,,"CONNECTICUT
(41.575155, -72.738288)",,20191503
TOTAL,2019,15,,-,0,,,-,,-,75,,436,,1781,,2097,,102,,460,,2893,,3349,,,TOTAL,20191570
UTAH,2019,15,,-,0,,,-,,-,,-,11,,20,,21,,,-,6,,9,,11,,"UTAH
(39.323779, -111.678222)",,20191555
AMERICAN SAMOA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191564
GEORGIA,2019,15,,-,0,,,-,,-,,-,15,,52,,32,,,-,17,,84,,91,,"GEORGIA
(32.638481, -83.426574)",,20191532
SOUTH ATLANTIC,2019,15,,-,0,,,-,,-,4,,94,,233,,451,,7,,87,,284,,766,,,SOUTH ATLANTIC,20191528
NORTH CAROLINA,2019,15,,-,0,,,-,,-,,-,20,,51,,54,,,-,13,,52,,61,,"NORTH CAROLINA
(35.52603, -79.130883)",,20191534
INDIANA,2019,15,,-,0,,,-,,-,,-,12,,,-,35,,,-,6,,,-,34,,"INDIANA
(39.919991, -86.2818)",,20191516
NEW JERSEY,2019,15,,-,0,,,-,,-,,-,12,,8,,46,,,-,41,,181,,147,,"NEW JERSEY
(40.110253, -74.655514)",,20191510
US RESIDENTS,2019,15,,-,0,,,-,,-,75,,436,,1781,,2097,,102,,460,,2893,,3349,,,US RESIDENTS,20191501
WISCONSIN,2019,15,,-,0,,,-,,-,,-,30,,77,,105,,,-,6,,32,,44,,"WISCONSIN
(44.639954, -89.732969)",,20191519
WASHINGTON,2019,15,,-,0,,,-,,-,,-,48,,54,,21,,2,,71,,79,,75,,"WASHINGTON
(47.411715, -120.592492)",,20191562
CALIFORNIA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,8,,109,,664,,624,,"CALIFORNIA
(37.211164, -119.662127)",,20191559
RHODE ISLAND,2019,15,,-,0,,,-,,-,,-,4,,7,,8,,1,,5,,19,,10,,"RHODE ISLAND
(41.572574, -71.534637)",,20191507
MIDDLE ATLANTIC,2019,15,,-,0,,,-,,-,24,,53,,294,,252,,39,,86,,646,,424,,,MIDDLE ATLANTIC,20191509
PUERTO RICO,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191567
IDAHO,2019,15,,-,0,,,-,,-,3,,12,,33,,34,,,-,5,,8,,15,,"IDAHO
(44.389073, -114.659366)",,20191551
NEW YORK,2019,15,,-,0,,,-,,-,17,,19,,96,,59,,13,,27,,77,,60,,"NEW YORK
(42.921241, -75.59655)",,20191511
DISTRICT OF COLUMBIA,2019,15,,-,0,,,-,,-,,-,3,,5,,7,,,-,7,,16,,20,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191530
ILLINOIS,2019,15,,-,0,,,-,,-,,-,16,,25,,59,,,-,21,,77,,112,,"ILLINOIS
(40.124144, -89.148632)",,20191515
MISSISSIPPI,2019,15,,-,0,,,-,,-,,-,7,,10,,29,,,-,19,,41,,48,,"MISSISSIPPI
(32.713378, -89.65344)",,20191541
WEST SOUTH CENTRAL,2019,15,,-,0,,,-,,-,16,,90,,240,,261,,14,,82,,365,,272,,,WEST SOUTH CENTRAL,20191543
MICHIGAN,2019,15,,-,0,,,-,,-,,-,14,,52,,52,,1,,13,,39,,44,,"MICHIGAN
(44.874798, -85.730977)",,20191517
IOWA,2019,15,,-,0,,,-,,-,,-,38,,67,,73,,1,,7,,13,,26,,"IOWA
(42.074659, -93.500061)",,20191521
TEXAS,2019,15,,-,0,,,-,,-,15,,84,,204,,210,,11,,67,,303,,185,,"TEXAS
(31.447238, -99.317341)",,20191547
SOUTH CAROLINA,2019,15,,-,0,,,-,,-,,-,6,,16,,42,,,-,16,,16,,118,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191535
NEW MEXICO,2019,15,,-,0,,,-,,-,,-,7,,13,,17,,,-,5,,14,,12,,"NEW MEXICO
(34.421369, -106.108388)",,20191554
OREGON,2019,15,,-,0,,,-,,-,4,,15,,62,,55,,2,,68,,55,,45,,"OREGON
(43.940449, -120.605279)",,20191561
KENTUCKY,2019,15,,-,0,,,-,,-,,-,14,,52,,17,,,-,5,,11,,25,,"KENTUCKY
(37.526683, -85.290484)",,20191540
NEW HAMPSHIRE,2019,15,,-,0,,,-,,-,,-,5,,6,,7,,,-,2,,6,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191506
DELAWARE,2019,15,,-,0,,,-,,-,1,,2,,3,,2,,1,,3,,4,,7,,"DELAWARE
(38.994926, -75.452394)",,20191529
FLORIDA,2019,15,,-,0,,,-,,-,,-,33,,,-,207,,,-,53,,,-,372,,"FLORIDA
(28.260731, -82.420978)",,20191531
VERMONT,2019,15,,-,0,,,-,,-,,-,4,,9,,10,,,-,43,,4,,3,,"VERMONT
(44.075252, -72.662695)",,20191508
PACIFIC,2019,15,,-,0,,,-,,-,4,,61,,117,,89,,13,,168,,824,,784,,,PACIFIC,20191557
U.S. VIRGIN ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191568
ARIZONA,2019,15,,-,0,,,-,,-,2,,12,,40,,59,,4,,21,,67,,78,,"ARIZONA
(34.293239, -111.664616)",,20191549
OHIO,2019,15,,-,0,,,-,,-,5,,30,,109,,112,,9,,22,,140,,153,,"OHIO
(40.415534, -82.70936)",,20191518
TENNESSEE,2019,15,,-,0,,,-,,-,4,,21,,87,,55,,,-,10,,33,,59,,"TENNESSEE
(35.842998, -86.343226)",,20191542
MOUNTAIN,2019,15,,-,0,,,-,,-,11,,61,,201,,242,,10,,39,,162,,205,,,MOUNTAIN,20191548
OKLAHOMA,2019,15,,-,0,,,-,,-,1,,37,,15,,14,,1,,6,,23,,13,,"OKLAHOMA
(35.583449, -97.508297)",,20191546
PENNSYLVANIA,2019,15,,-,0,,,-,,-,6,,20,,55,,75,,6,,11,,58,,44,,"PENNSYLVANIA
(40.896694, -77.838886)",,20191513
MAINE,2019,15,,-,0,,,-,,-,,-,4,,7,,11,,1,,1,,4,,2,,"MAINE
(45.117911, -69.06137)",,20191504
ALABAMA,2019,15,,-,0,,,-,,-,,-,8,,28,,14,,3,,13,,60,,66,,"ALABAMA
(32.756889, -86.844516)",,20191539
NORTH DAKOTA,2019,15,,-,0,,,-,,-,,-,5,,7,,14,,,-,1,,4,,2,,"NORTH DAKOTA
(47.446305, -100.46931)",,20191526
WYOMING,2019,15,,-,0,,,-,,-,,-,6,,4,,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20191556
US TERRITORIES,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191563
VIRGINIA,2019,15,,-,0,,,-,,-,2,,17,,53,,48,,4,,14,,44,,43,,"VIRGINIA
(37.510861, -78.666382)",,20191536
MARYLAND,2019,15,,-,0,,,-,,-,1,,12,,47,,48,,2,,11,,67,,48,,"MARYLAND
(38.946466, -76.687282)",,20191533
NEW ENGLAND,2019,15,,-,0,,,-,,-,,-,19,,73,,96,,3,,55,,99,,71,,,NEW ENGLAND,20191502
NEVADA,2019,15,,-,0,,,-,,-,,-,4,,2,,4,,,-,6,,6,,25,,"NEVADA
(39.283294, -114.916992)",,20191553
ARKANSAS,2019,15,,-,0,,,-,,-,,-,7,,13,,17,,,-,9,,21,,30,,"ARKANSAS
(34.899825, -92.439162)",,20191544
MISSOURI,2019,15,,-,0,,,-,,-,6,,18,,61,,68,,1,,19,,27,,134,,"MISSOURI
(38.3675, -92.477244)",,20191524
WEST NORTH CENTRAL,2019,15,,-,0,,,-,,-,7,,80,,183,,228,,3,,25,,80,,242,,,WEST NORTH CENTRAL,20191520
US RESIDENTS,2019,16,,-,0,,,-,,-,59,,439,,1959,,2346,,77,,461,,3082,,3629,,,US RESIDENTS,20191601
NEW ENGLAND,2019,16,,-,0,,,-,,-,1,,19,,85,,107,,1,,55,,105,,72,,,NEW ENGLAND,20191602
CONNECTICUT,2019,16,,-,0,,,-,,-,,-,7,,35,,28,,1,,5,,21,,13,,"CONNECTICUT
(41.575155, -72.738288)",,20191603
MAINE,2019,16,,-,0,,,-,,-,,-,3,,7,,12,,,-,1,,4,,3,,"MAINE
(45.117911, -69.06137)",,20191604
MASSACHUSETTS,2019,16,,-,0,,,-,,-,,-,9,,19,,42,,,-,11,,51,,43,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191605
NEW HAMPSHIRE,2019,16,,-,0,,,-,,-,,-,5,,7,,7,,,-,2,,6,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191606
RHODE ISLAND,2019,16,,-,0,,,-,,-,,-,4,,7,,8,,,-,5,,19,,10,,"RHODE ISLAND
(41.572574, -71.534637)",,20191607
VERMONT,2019,16,,-,0,,,-,,-,1,,4,,10,,10,,,-,43,,4,,3,,"VERMONT
(44.075252, -72.662695)",,20191608
MIDDLE ATLANTIC,2019,16,,-,0,,,-,,-,14,,53,,335,,280,,29,,86,,693,,466,,,MIDDLE ATLANTIC,20191609
NEW JERSEY,2019,16,,-,0,,,-,,-,,-,12,,8,,47,,2,,41,,193,,162,,"NEW JERSEY
(40.110253, -74.655514)",,20191610
NEW YORK,2019,16,,-,0,,,-,,-,11,,19,,107,,68,,8,,27,,84,,63,,"NEW YORK
(42.921241, -75.59655)",,20191611
NEW YORK CITY,2019,16,,-,0,,,-,,-,,-,19,,156,,80,,16,,43,,350,,192,,,NEW YORK CITY,20191612
PENNSYLVANIA,2019,16,,-,0,,,-,,-,3,,20,,64,,85,,3,,11,,66,,49,,"PENNSYLVANIA
(40.896694, -77.838886)",,20191613
EAST NORTH CENTRAL,2019,16,,-,0,,,-,,-,18,,82,,291,,391,,12,,48,,307,,419,,,EAST NORTH CENTRAL,20191614
ILLINOIS,2019,16,,-,0,,,-,,-,,-,16,,31,,65,,,-,21,,83,,121,,"ILLINOIS
(40.124144, -89.148632)",,20191615
INDIANA,2019,16,,-,0,,,-,,-,,-,12,,,-,37,,,-,5,,,-,39,,"INDIANA
(39.919991, -86.2818)",,20191616
MICHIGAN,2019,16,,-,0,,,-,,-,,-,14,,52,,56,,,-,13,,39,,46,,"MICHIGAN
(44.874798, -85.730977)",,20191617
OHIO,2019,16,,-,0,,,-,,-,15,,30,,124,,122,,10,,22,,150,,163,,"OHIO
(40.415534, -82.70936)",,20191618
WISCONSIN,2019,16,,-,0,,,-,,-,3,,30,,84,,111,,2,,6,,35,,50,,"WISCONSIN
(44.639954, -89.732969)",,20191619
WEST NORTH CENTRAL,2019,16,,-,0,,,-,,-,8,,80,,217,,257,,2,,25,,87,,267,,,WEST NORTH CENTRAL,20191620
IOWA,2019,16,,-,0,,,-,,-,3,,38,,84,,79,,,-,7,,16,,31,,"IOWA
(42.074659, -93.500061)",,20191621
KANSAS,2019,16,,-,0,,,-,,-,,-,18,,26,,33,,,-,10,,17,,53,,"KANSAS
(38.484729, -98.38018)",,20191622
MINNESOTA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191623
MISSOURI,2019,16,,-,0,,,-,,-,3,,18,,66,,73,,2,,19,,29,,153,,"MISSOURI
(38.3675, -92.477244)",,20191624
NEBRASKA,2019,16,,-,0,,,-,,-,2,,12,,27,,30,,,-,5,,17,,18,,"NEBRASKA
(41.527099, -99.810595)",,20191625
NORTH DAKOTA,2019,16,,-,0,,,-,,-,,-,5,,7,,17,,,-,2,,4,,2,,"NORTH DAKOTA
(47.446305, -100.46931)",,20191626
SOUTH DAKOTA,2019,16,,-,0,,,-,,-,,-,34,,7,,25,,,-,3,,4,,10,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191627
SOUTH ATLANTIC,2019,16,,-,0,,,-,,-,1,,95,,248,,494,,9,,87,,300,,826,,,SOUTH ATLANTIC,20191628
DELAWARE,2019,16,,-,0,,,-,,-,,-,3,,3,,2,,2,,3,,7,,8,,"DELAWARE
(38.994926, -75.452394)",,20191629
DISTRICT OF COLUMBIA,2019,16,,-,0,,,-,,-,,-,3,,5,,7,,,-,7,,16,,20,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191630
FLORIDA,2019,16,,-,0,,,-,,-,,-,33,,,-,220,,,-,53,,,-,399,,"FLORIDA
(28.260731, -82.420978)",,20191631
GEORGIA,2019,16,,-,0,,,-,,-,,-,20,,63,,36,,1,,17,,89,,103,,"GEORGIA
(32.638481, -83.426574)",,20191632
